id,sample_reason,category,contract,clause_text,target,rubric_aggregate,rubric_structure_ok,rubric_groundedness,rubric_length_ok,rubric_no_contradiction,reviewer_verdict,reviewer_notes
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement__No-Solicit Of Customers_0,random,No-Solicit Of Customers,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,Application Provider will not solicit any Excite@Home Member on             behalf of any Excite@Home Named Competitor during the Term of this             Agreement or thereafter.,"Issue: The scope and enforceability of a non-solicitation clause in a contract.

Rule: Non-solicitation clauses are generally enforceable as they protect a company's customer base and proprietary information. However, the scope of such clauses must be reasonable and not overly broad to avoid being deemed unenforceable.

Application: The clause restricts the Application Provider from soliciting Excite@Home Members on behalf of any Excite@Home Named Competitor both during and after the term of the agreement. This restriction is specific to solicitation activities and does not limit other business activities. The clause is clear about the parties involved and the duration of the restriction.

Conclusion: The clause is specific and reasonable in its scope, as it targets a particular activity (solicitation) and specifies the parties involved (Excite@Home Members and Named Competitors). Therefore, it is likely enforceable under general contract law principles.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Misapplies its own rule: clause bars solicitation 'during the Term or thereafter' (perpetual), but target calls the duration clear and reasonable and concludes it is likely enforceable. Unlimited post-term duration is the obvious overbreadth issue and is not raised."
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT__Uncapped Liability_2",low_rubric_score,Uncapped Liability,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT","ANY THEORY OF LIABILITY (WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY OR OTHERWISE). THE LIMITATIONS SET FORTH IN THIS SECTION WILL APPLY EVEN IF A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.","Issue: The clause's impact on liability and damages in a contract.

Rule: In contract law, liability is typically limited to specific types of damages, and the scope of liability can be capped or excluded based on the parties' agreement. However, this clause includes an uncapped liability provision, which is broad and potentially unlimited.

Application: The clause states ""ANY THEORY OF LIABILITY,"" indicating that it covers all types of legal theories, including contract, tort (including negligence), and strict liability. Additionally, it specifies that the limitations apply even if one party has been advised of the possibility of such damages and regardless of any failure of essential purpose of any limited remedy. This means that the party agreeing to this clause could be held liable for any damages, regardless of the nature of the claim or the existence of a remedy.

Conclusion: The clause effectively removes any limitation on the type or amount of damages that could be claimed, significantly increasing the potential liability for the party agreeing to it.",0.75,1.0,0.0,1.0,1.0,bad,Inverted reading. This is a limitation-of-liability clause ('THE LIMITATIONS SET FORTH IN THIS SECTION WILL APPLY'); target says it 'removes any limitation on the type or amount of damages' and creates unlimited exposure. Exactly backwards. Drop or regenerate.
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Uncapped Liability_0,random,Uncapped Liability,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement,"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES, ANY SUCCESSORS IN INTEREST OR ANY BENEFICIARY OR ASSIGNEE OF THIS AGREEMENT FOR ANY CONSEQUENTIAL, MULTIPLE, INCIDENTAL, INDIRECT, SPECIAL, EXEMPLARY OR PUNITIVE DAMAGES, OR LOSS OF PROFITS OR REVENUES ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY BREACH HEREOF; PROVIDED, HOWEVER, THE FOREGOING SHALL NOT BE CONSTRUED AS LIMITING AN OBLIGATION OF A PARTY HEREUNDER TO INDEMNIFY, DEFEND AND HOLD HARMLESS THE OTHER PARTY AGAINST CLAIMS ASSERTED BY UNAFFILIATED THIRD PARTIES, INCLUDING, BUT NOT LIMITED TO, THIRD PARTY CLAIMS FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES.","Issue: The clause limits the liability of the parties to this agreement, specifically excluding certain types of damages.

Rule: In contract law, liability clauses are generally enforceable as long as they are clear, unambiguous, and do not violate public policy. The clause in question is designed to limit the types of damages that can be claimed by the parties, which is a common practice in contract drafting.

Application: The clause explicitly limits liability to direct damages, excluding consequential, multiple, incidental, indirect, special, exemplary, or punitive damages, as well as loss of profits or revenues. It also preserves the obligation to indemnify, defend, and hold harmless against claims by unaffiliated third parties, even if those claims seek the excluded types of damages.

Conclusion: The clause effectively limits the liability of the parties to this agreement, but it does not limit the obligation to defend and indemnify against third-party claims, even if those claims seek the excluded types of damages.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly identifies the consequential-damages exclusion and the third-party indemnity carve-out that makes it the 'uncapped' label. Grounded throughout.
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT__Change Of Control_0,random,Change Of Control,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"Any proposed transfer by you (regardless of the form of transfer) shall be subject to the same terms and conditions contained in the Franchise Agreement.  As used herein, the term ""Transfer"" shall mean any sale, assignment, gift, pledge, mortgage or any other encumbrance, transfer by bankruptcy, transfer by judicial order, merger, consolidation, share exchange, transfer by operation of law or otherwise, whether direct or indirect, voluntary or involuntary, of the Agreements or any interest in any of them or any rights or obligations arising under them, or of any material portion of the business assets, or of any interest in the Franchisee.  Each of you agree and covenant that you will not at any time during which Franchisee is a Buffalo Wild Wings/bw-3 franchisee and/or developer, directly or indirectly, voluntarily or involuntarily, make any Transfer, unless you first obtain our written approval in compliance with the same provisions applicable to a transfer by you as set forth in the Agreements.","Issue: The scope and enforceability of a change of control clause in a franchise agreement.

Rule: Change of control clauses in franchise agreements typically restrict the transfer of franchise rights to ensure the franchisor maintains control over the quality and operations of its brand. These clauses are generally enforceable as long as they are reasonable in scope and do not unreasonably restrict the franchisee's ability to sell or transfer their business.

Application: The clause restricts any form of transfer of the franchise agreements, including sales, assignments, gifts, and other encumbrances, by requiring the franchisee to obtain written approval from the franchisor. The clause defines ""Transfer"" broadly to include any method of transferring the franchise or its assets, ensuring comprehensive coverage. The requirement for written approval is a standard contractual term designed to maintain the franchisor's control over the franchise network.

Conclusion: The clause is enforceable as it is reasonable and does not unreasonably restrict the franchisee's ability to transfer their business, as it allows for the franchisor's oversight and control over the franchise network.",1.0,1.0,1.0,1.0,1.0,good,Accurate summary of the broad Transfer definition and the written-approval gate. Enforceability conclusion is conclusory but defensible for a franchise CoC clause.
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT__Governing Law_0",random,Governing Law,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.,"Issue: Governing Law and Forum Selection in Contract Clauses

Rule: Contract law generally allows parties to specify the governing law and forum for disputes. The choice of law clause reflects the parties' intent to have their agreement interpreted under the laws of a specific jurisdiction, and the forum selection clause directs where disputes should be resolved.

Application: The clause specifies that the laws of the State of Colorado will govern the agreement and any amendments, indicating that Colorado law will be applied to interpret the contract. It also directs that any disputes arising under the agreement should be litigated in a state court in Colorado, effectively limiting the venue for legal proceedings to Colorado.

Conclusion: The clause effectively limits the legal jurisdiction to Colorado, aligning the parties' expectations with the chosen forum for dispute resolution.",1.0,1.0,1.0,1.0,1.0,good,Clean. Correctly separates choice of law from forum selection and notes the conflicts-of-law carve-out.
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT__Rofr/Rofo/Rofn_1,low_rubric_score,Rofr/Rofo/Rofn,BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,"On or as soon as practicable following the Effective Date, it is intended that you will be granted an option under the Option Plan to acquire 107,417 ordinary shares in the capital of BTL (""Shares"") (representing approximately 0.6% of the Company's issued share capital as at the Effective Date).","Issue: The nature and timing of the option grant under the Option Plan.

Rule: In the context of option grants, the grantor is typically required to provide the grantee with the option to purchase shares within a reasonable time frame following the effective date, as per standard contract law principles.

Application: The clause specifies that the option to acquire 107,417 ordinary shares (approximately 0.6% of the Company's issued share capital) will be granted ""On or as soon as practicable following the Effective Date."" This aligns with the rule by ensuring the grant is provided promptly.

Conclusion: The clause is consistent with standard practices for option grants, ensuring the grantee receives the option in a timely manner.",0.75,1.0,0.0,1.0,1.0,bad,"Category mismatch plus fabricated law. Clause is a share option grant, not a ROFR/ROFO/ROFN; target never mentions a refusal right, and invents a rule that grantors must grant options 'within a reasonable time frame ... as per standard contract law principles'. No such rule. Drop."
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement__Affiliate License-Licensee_0,low_rubric_score,Affiliate License-Licensee,ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"Arizona may sublicense the licenses granted herein to its Affiliates and Third Parties in the ordinary course of business in support of its and its Affiliates' business, but not for the independent use of Third Parties, and the Company may sublicense the licenses granted herein to Third Parties, its Subsidiaries, AWP, controlled Affiliates, or any holding company that is a direct or indirect parent of the Company in the ordinary course of business in support of its and its Subsidiaries' or controlled Affiliates' business, but not for the independent use of Third Parties (each such Affiliate, Third Party, AWP or Subsidiary, a ""Sublicensee"").","Issue: The scope and limitations of sublicensing rights for Affiliates and Third Parties under an Affiliate License-Licensee clause.

Rule: In contract law, the terms of a contract are strictly construed, and parties are bound by the explicit language used. Sublicensing rights are typically defined by the specific terms and conditions agreed upon by the parties, including the nature and extent of the sublicense, the purpose for which it is granted, and the restrictions placed on its use.

Application: The Company has the right to sublicense its licenses to Affiliates and Third Parties, but such sublicensing is limited to supporting the Company's and its Affiliates' business operations and not for the independent use of Third Parties. Similarly, Arizona may sublicense its licenses to Third Parties, Subsidiaries, AWP, controlled Affiliates, or a holding company, but this is also restricted to supporting the Company's and its Subsidiaries' or controlled Affiliates' business and not for the independent use of Third Parties. Each such sublicensee is referred to as a ""Sublicensee.""

Conclusion: The Company and Arizona are restricted in their sublicensing activities to support their respective business operations and cannot independently use the sublicensed rights for Third Parties, ensuring that the sublicensing is aligned with the core business objectives of the parties.",0.75,1.0,0.0,1.0,1.0,bad,"Parties swapped in Application. Clause: Arizona sublicenses to its Affiliates/Third Parties; Company sublicenses to Third Parties, Subsidiaries, AWP, controlled Affiliates, parent holdco. Target reverses the two. Groundedness failure. Drop or regenerate."
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT__Insurance_2",random,Insurance,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Each Party will obtain and carry in full force and effect the minimum insurance requirements set forth below.,"Issue: The requirement for each party to obtain and maintain insurance coverage as specified in the contract.

Rule: Under contract law, parties are generally required to fulfill their obligations as outlined in the agreement. This includes obtaining and maintaining insurance coverage as a means to mitigate risk and ensure compliance with legal standards.

Application: The clause requires each party to obtain and carry insurance that meets the minimum requirements set forth. This demonstrates the parties' agreement to comply with specific insurance coverage standards, which are intended to protect against potential liabilities and ensure that the minimum level of risk is managed.

Conclusion: Therefore, each party must ensure that the insurance coverage they obtain is sufficient to meet the minimum requirements as specified in the contract, reflecting their commitment to risk management and compliance with legal standards.",0.964,1.0,0.857,1.0,1.0,minor_issue,"Not wrong, but vacuous. Clause is a stub pointing to requirements 'set forth below' that are not in the excerpt, so the target has nothing to analyze and pads with generic risk-management language. Low training value."
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement__Audit Rights_0,random,Audit Rights,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement,"Any such audit will be conducted upon [*] ([*]) days notice and during regular business hours, and shall be at [*] expense, unless such audit reveals a discrepancy of more than [*] percent ([*]%) in the total applicable amount reported by HSWI, in which case [*] shall pay for, or reimburse [*] the cost of, such audit.","Issue: The scope and conditions of an audit right in a contract.

Rule: Contractual audit clauses typically require that audits be conducted with proper notice and during regular business hours, and that the auditing party bears the cost unless a material discrepancy is found. The clause must be clear about the notice period, the cost allocation, and the threshold for cost shifting.

Application: The clause requires an audit to be conducted upon [*] days notice and during regular business hours, indicating a reasonable notice period and adherence to standard business operations. The clause specifies that the auditing party shall bear the expense of the audit unless a discrepancy of more than [*] percent is found, at which point the other party is required to pay for the audit. This structure ensures that the auditing party incurs the initial cost but is only required to pay if a significant error is uncovered, aligning with the principle of cost allocation based on the outcome of the audit.

Conclusion: The clause effectively balances the rights and responsibilities of both parties regarding the conduct and cost of an audit, ensuring that the auditing party bears the initial cost but is only required to pay if a material discrepancy is identified.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Clause is redaction-heavy ([*] notice period, [*] threshold, [*] paying party). Target asserts 'a reasonable notice period' and assigns who pays, neither of which is recoverable from the text. Unsupported inference from redactions."
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Audit Rights_0",random,Audit Rights,"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT","CARDAX shall have the right to audit CAPSUGEL's facilities, quality systems and records from time to time upon reasonable notice and CARDAX shall have the right to have a third party accounting firm, subject to a non-disclosure agreement, audit CAPSUGEL's financials as they relate to Net Sales and Adjusted Net Sales.","Issue: The scope and conditions of CARDAX's right to audit CAPSUGEL's facilities, quality systems, records, and financials.

Rule: Under contract law, parties may agree to grant one another specific audit rights, which are typically subject to reasonable notice and the use of confidentiality agreements. Third-party audits are also permissible, provided that the third party is bound by a non-disclosure agreement.

Application: CARDAX has the right to audit CAPSUGEL's facilities, quality systems, and records at any time, subject to reasonable notice. Additionally, CARDAX can engage a third-party accounting firm, which must sign a non-disclosure agreement, to audit CAPSUGEL's financials related to Net Sales and Adjusted Net Sales.

Conclusion: The clause establishes CARDAX's right to conduct audits of CAPSUGEL's operations and financials, subject to reasonable notice and confidentiality, ensuring that CARDAX can verify the accuracy of financial information related to Net Sales and Adjusted Net Sales.",1.0,1.0,1.0,1.0,1.0,good,"Accurate. Captures both the direct audit right and the NDA-bound third-party financial audit. Minor: 'at any time' slightly overstates 'from time to time', but scope and conditions are right."
